yogafire 2017-04-07 00:00:01
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2952 1785072 296168 433320    0    0     0     2   99   71  0  0 100  0
 0  0   2952 1785568 296176 433320    0    0     0     2   94   71  0  0 100  0
 0  0   2952 1786808 296184 433320    0    0     0     2  134   87  0  2 98  0
 0  0   2952 1786716 296184 433320    0    0     0     6  115   74  0  0 100  0
 0  0   2952 1786716 296188 433320    0    0     0     1  104   74  0  0 100  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2952 1787840 296192 433320    0    0     0     5  104   68  0  0 100  0
 0  0   2952 1787784 296196 433320    0    0     0     1  127   78  0  1 99  0
 0  0   2952 1787716 296212 433324    0    0     0     6  118   71  0  0 100  0
 0  0   2952 1787716 296220 433324    0    0     0     5  112   70  0  0 100  0
 0  0   2952 1787716 296232 433324    0    0     0     3   98   69  0  0 100  0
 0  0   2952 1784072 296348 434072    0    0    53    33  253  162  0  1 98  0
 0  0   2952 1784196 296356 434084    0    0     0    18  116   77  0  0 100  0
 0  0   2952 1784576 296368 434084    0    0     0     7  114   74  0  0 100  0
 0  0   2952 1784576 296376 434084    0    0     0     1  114   76  0  0 100  0
 4  0   2952 1784328 296384 434084    0    0     0     3  121   74  0  0 100  0
 0  0   2952 1783684 296392 434084    0    0     0     5  144   89  0  1 99  0
 0  0   2952 1783560 296400 434084    0    0     0     2  112   73  0  0 100  0
 0  0   2952 1783484 296412 434100    0    0     0     7  176  102  0  0 99  0
 0  0   2952 1779476 296424 434108    0    0     0     4  189  111  0  0 99  0
 0  0   2952 1777980 296440 434108    0    0     0    10  151   94  0  1 99  0
 0  0   2952 1777980 296448 434108    0    0     0     7  101   73  0  0 100  0
 0  0   2952 1776972 296472 434308    0    0    14     3  163  125  0  0 99  1
yogafire 2017-04-07 01:20:01
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0   2952 1775764 296480 434316    0    0     1     1    0    0  0  0 99  0
 0  0   2952 1776608 296488 434316    0    0     0     6  130   84  0  0 100  0
